"","workerid","noun","nounclass","slide_number","sense","predicate2","predicate1","class2","response","class1","makes_sense","triple"
"905",30,"dog","X",7,"no","internal","senior","location",0.52,"age","no","senior internal dog"
"911",30,"joke","X",13,"no","national","wooden","nationality",0.51,"material","no","wooden national joke"
"915",30,"value","X",17,"no","plain","green","value",0.5,"color","no","green plain value"
"916",30,"garbage","X",18,"no","unique","young","X",0.51,"age","no","young unique garbage"
"917",30,"coke","X",19,"no","pleasant","creative","value",0.51,"human","no","creative pleasant coke"
"920",30,"film","X",22,"no","exciting","yellow","value",0.5,"color","no","yellow exciting film"
"921",30,"term","X",23,"no","solid","purple","physical",0.5,"color","no","purple solid term"
"926",30,"feeling","X",28,"no","slow","crocheted","speed",0.5,"material","no","crocheted slow feeling"
"927",30,"conscience","X",29,"no","plain","narrow","value",0.25,"dimension","no","narrow plain conscience"
"929",30,"can","X",31,"no","sad","large","human",0.27,"dimension","no","large sad can"
"930",30,"time","X",32,"no","Vietnamese","professional","nationality",0.5,"human","no","professional Vietnamese time"
"937",31,"puppy","X",9,"no","open","white","dimension",0.48,"color","no","white open puppy"
"939",31,"valley","X",11,"no","individual","playful","X",0.72,"human","no","playful individual valley"
"942",31,"income","X",14,"no","fast","mini","speed",0.48,"dimension","no","mini fast income"
"946",31,"book","X",18,"no","fast","yellow","speed",0.55,"color","no","yellow fast book"
"951",31,"research","X",23,"no","curly","junior","physical",0.48,"age","no","junior curly research"
"955",31,"ride","X",27,"no","square","corduroy","shape",0.16,"material","no","corduroy square ride"
"959",31,"wind","X",31,"no","speedy","curly","speed",0.48,"physical","no","curly speedy wind"
"991",33,"engine","X",3,"no","mixed","plain","X",0.66,"value","no","plain mixed engine"
"992",33,"death","X",4,"no","square","civilized","shape",0.72,"human","no","civilized square death"
"995",33,"luck","X",7,"no","Vietnamese","thick","nationality",0.86,"dimension","no","thick Vietnamese luck"
"996",33,"income","X",8,"no","Japanese","corduroy","nationality",0.23,"material","no","corduroy Japanese income"
"1002",33,"radio","X",14,"no","plain","overhead","value",0.86,"location","no","overhead plain radio"
"1003",33,"shell","X",15,"no","national","crocheted","nationality",0.25,"material","no","crocheted national shell"
"1008",33,"sound","X",20,"no","strange","international","value",0.24,"nationality","no","international strange sound"
"1009",33,"report","X",21,"no","lavish","spicy","value",0.81,"physical","no","spicy lavish report"
"1011",33,"puppy","X",23,"no","square","creamy","shape",0.18,"physical","no","creamy square puppy"
"1012",33,"guy","X",24,"no","favorite","mini","value",0.25,"dimension","no","mini favorite guy"
"1013",33,"teller","X",25,"no","mixed","long","X",0.77,"dimension","no","long mixed teller"
"1015",33,"mall","X",27,"no","mixed","strange","X",0.65,"value","no","strange mixed mall"
"1016",33,"party","X",28,"no","unique","purple","X",0.26,"color","no","purple unique party"
"1019",33,"shot","X",31,"no","international","old","nationality",0.63,"age","no","old international shot"
"1020",33,"reason","X",32,"no","crocheted","green","material",0.29,"color","no","green crocheted reason"
"1051",35,"vacation","X",3,"no","speedy","old","speed",0.42,"age","no","old speedy vacation"
"1052",35,"report","X",4,"no","sweet","purple","physical",0.33,"color","no","purple sweet report"
"1064",35,"sauce","X",16,"no","speedy","European","speed",0.72,"nationality","no","European speedy sauce"
"1068",35,"lifestyle","X",20,"no","square","purple","shape",0.39,"color","no","purple square lifestyle"
"1071",35,"crime","X",23,"no","Japanese","long","nationality",0.44,"dimension","no","long Japanese crime"
"1073",35,"reason","X",25,"no","pleasant","slow","value",0.83,"speed","no","slow pleasant reason"
"1077",35,"food","X",29,"no","different","crocheted","X",0.34,"material","no","crocheted different food"
"1079",35,"vacation","X",31,"no","Brazilian","purple","nationality",0.95,"color","no","purple Brazilian vacation"
"1084",36,"source","X",6,"no","overhead","young","location",0.85,"age","no","young overhead source"
"1117",37,"issue","X",9,"no","lacy","large","physical",0.67,"dimension","no","large lacy issue"
"1121",37,"sense","X",13,"no","closest","red","location",0.46,"color","no","red closest sense"
"1122",37,"sauce","X",14,"no","plain","strict","value",0.71,"human","no","strict plain sauce"
"1124",37,"life","X",16,"no","curly","thick","physical",0.67,"dimension","no","thick curly life"
"1125",37,"conscience","X",17,"no","square","curly","shape",0.76,"physical","no","curly square conscience"
"1126",37,"voice","X",18,"no","individual","frozen","X",0.27,"physical","no","frozen individual voice"
"1128",37,"trial","X",20,"no","playful","narrow","human",0.74,"dimension","no","narrow playful trial"
"1131",37,"type","X",23,"no","individual","internal","X",0.77,"location","no","internal individual type"
"1135",37,"city","X",27,"no","open","junior","dimension",0.78,"age","no","junior open city"
"1136",37,"lab","X",28,"no","European","crocheted","nationality",0.83,"material","no","crocheted European lab"
"1138",37,"tax","X",30,"no","slow","red","speed",0.22,"color","no","red slow tax"
"1140",37,"crime","X",32,"no","last","wooden","X",0.18,"material","no","wooden last crime"
"1175",39,"truth","X",7,"no","solid","strict","physical",0.59,"human","no","strict solid truth"
"1177",39,"shell","X",9,"no","thick","old-time","dimension",0.5,"age","no","old-time thick shell"
"1179",39,"environment","X",11,"no","last","overhead","X",0.38,"location","no","overhead last environment"
"1180",39,"child","X",12,"no","lacy","international","physical",0.47,"nationality","no","international lacy child"
"1181",39,"mouth","X",13,"no","daily","circular","temporal",0.48,"shape","no","circular daily mouth"
"1183",39,"citizen","X",15,"no","creamy","English","physical",0.26,"nationality","no","English creamy citizen"
"1184",39,"voice","X",16,"no","creamy","Brazilian","physical",0.25,"nationality","no","Brazilian creamy voice"
"1185",39,"computer","X",17,"no","Hispanic","junior","nationality",0.58,"age","no","junior Hispanic computer"
"1188",39,"trial","X",20,"no","lacy","sad","physical",0.51,"human","no","sad lacy trial"
"1190",39,"reinforcement","X",22,"no","fast","entrepreneurial","speed",0.37,"human","no","entrepreneurial fast reinforcement"
"1192",39,"driveway","X",24,"no","individual","exciting","X",0.48,"value","no","exciting individual driveway"
"1193",39,"can","X",25,"no","sad","mini","human",0.29,"dimension","no","mini sad can"
"1194",39,"reason","X",26,"no","closest","senior","location",0.37,"age","no","senior closest reason"
"1195",39,"factor","X",27,"no","strange","blue","value",0.31,"color","no","blue strange factor"
"1196",39,"school","X",28,"no","last","young","X",0.5,"age","no","young last school"
"1198",39,"recipe","X",30,"no","curly","black","physical",0.29,"color","no","black curly recipe"
"1200",39,"weather","X",32,"no","open","young","dimension",0.43,"age","no","young open weather"
"1233",41,"report","X",5,"no","mixed","Hispanic","X",0.16,"nationality","no","Hispanic mixed report"
"1234",41,"dough","X",6,"no","strange","civilized","value",0.34,"human","no","civilized strange dough"
"1239",41,"solution","X",11,"no","mixed","curly","X",0.69,"physical","no","curly mixed solution"
"1241",41,"banking","X",13,"no","national","yellow","nationality",0.8,"color","no","yellow national banking"
"1245",41,"parent","X",17,"no","plain","black","value",0.25,"color","no","black plain parent"
"1246",41,"situation","X",18,"no","English","yellow","nationality",0.82,"color","no","yellow English situation"
"1252",41,"trunk","X",24,"no","civilized","mini","human",0.14,"dimension","no","mini civilized trunk"
"1253",41,"income","X",25,"no","overhead","blonde","location",0.83,"color","no","blonde overhead income"
"1261",42,"income","X",3,"no","mini","old-time","dimension",0.09,"age","no","old-time mini income"
"1262",42,"ski","X",4,"no","mixed","crocheted","X",0.08,"material","no","crocheted mixed ski"
"1263",42,"pan","X",5,"no","pleasant","professional","value",0.86,"human","no","professional pleasant pan"
"1267",42,"wood","X",9,"no","national","old-time","nationality",0.1,"age","no","old-time national wood"
"1269",42,"day","X",11,"no","creamy","blonde","physical",0.06,"color","no","blonde creamy day"
"1273",42,"reason","X",15,"no","frozen","English","physical",0.1,"nationality","no","English frozen reason"
"1281",42,"place","X",23,"no","designated","lacy","X",0.92,"physical","no","lacy designated place"
"1283",42,"computer","X",25,"no","lavish","corduroy","value",0.1,"material","no","corduroy lavish computer"
"1285",42,"city","X",27,"no","unique","creamy","X",0.78,"physical","no","creamy unique city"
"1287",42,"grandfather","X",29,"no","individual","gold","X",0.79,"material","no","gold individual grandfather"
"1290",42,"rib","X",32,"no","prestigious","civilized","value",0.1,"human","no","civilized prestigious rib"
"1294",43,"death","X",6,"no","creamy","European","physical",0.43,"nationality","no","European creamy death"
"1326",44,"crime","X",8,"no","creative","thin","human",0.96,"dimension","no","thin creative crime"
"1336",44,"world","X",18,"no","sweet","strict","physical",0.01,"human","no","strict sweet world"
"1448",48,"crime","X",10,"no","entrepreneurial","mini","human",0.55,"dimension","no","mini entrepreneurial crime"
"1456",48,"puppy","X",18,"no","plain","green","value",0.12,"color","no","green plain puppy"
"1457",48,"hand","X",19,"no","frozen","international","physical",0.24,"nationality","no","international frozen hand"
"1458",48,"sauce","X",20,"no","sweet","wooden","physical",0.12,"material","no","wooden sweet sauce"
"1463",48,"ride","X",25,"no","curly","yellow","physical",0.04,"color","no","yellow curly ride"
"1470",48,"dough","X",32,"no","favorite","strict","value",0.5,"human","no","strict favorite dough"
"1491",49,"vitamin","X",23,"no","sweet","selfish","physical",0,"human","no","selfish sweet vitamin"
"1497",49,"power","X",29,"no","mini","senior","dimension",0.02,"age","no","senior mini power"
"1572",52,"world","X",14,"no","biggest","senior","dimension",0.44,"age","no","senior biggest world"
"1582",52,"brush","X",24,"no","pleasant","entrepreneurial","value",0.38,"human","no","entrepreneurial pleasant brush"
"1585",52,"meat","X",27,"no","token","exciting","X",0.56,"value","no","exciting token meat"
"1586",52,"feeling","X",28,"no","mini","young","dimension",0.51,"age","no","young mini feeling"
"1588",52,"money","X",30,"no","everyday","mini","temporal",0.6,"dimension","no","mini everyday money"
"1591",53,"coke","X",3,"no","overhead","professional","location",0.82,"human","no","professional overhead coke"
"1594",53,"brush","X",6,"no","sweet","open","physical",0.23,"dimension","no","open sweet brush"
"1596",53,"luck","X",8,"no","Hispanic","yellow","nationality",0.83,"color","no","yellow Hispanic luck"
"1597",53,"libertarian","X",9,"no","historical","crocheted","temporal",0.64,"material","no","crocheted historical libertarian"
"1598",53,"place","X",10,"no","curly","senior","physical",0.69,"age","no","senior curly place"
"1602",53,"plate","X",14,"no","sweet","corduroy","physical",0.53,"material","no","corduroy sweet plate"
"1603",53,"conversation","X",15,"no","curly","biggest","physical",0.86,"dimension","no","biggest curly conversation"
"1606",53,"service","X",18,"no","purple","old","color",0.84,"age","no","old purple service"
"1607",53,"fish","X",19,"no","thick","senior","dimension",0.84,"age","no","senior thick fish"
"1616",53,"trash","X",28,"no","selfish","long","human",0.85,"dimension","no","long selfish trash"
"1617",53,"strip","X",29,"no","civilized","red","human",0.85,"color","no","red civilized strip"
"1618",53,"type","X",30,"no","token","blue","X",0.54,"color","no","blue token type"
"1619",53,"trial","X",31,"no","designated","narrow","X",0.17,"dimension","no","narrow designated trial"
"1621",54,"snake","X",3,"no","spicy","selfish","physical",0.75,"human","no","selfish spicy snake"
"1624",54,"engine","X",6,"no","creamy","wooden","physical",0.18,"material","no","wooden creamy engine"
"1629",54,"brush","X",11,"no","prestigious","playful","value",0.2,"human","no","playful prestigious brush"
"1656",55,"situation","X",8,"no","crocheted","young","material",0,"age","no","young crocheted situation"
"1657",55,"weather","X",9,"no","square","creamy","shape",0.55,"physical","no","creamy square weather"
"1659",55,"snake","X",11,"no","potential","blue","X",0,"color","no","blue potential snake"
"1661",55,"brush","X",13,"no","best","civilized","value",0.71,"human","no","civilized best brush"
"1662",55,"time","X",14,"no","speedy","long","speed",1,"dimension","no","long speedy time"
"1663",55,"grandfather","X",15,"no","individual","speedy","X",0.48,"speed","no","speedy individual grandfather"
"1665",55,"lab","X",17,"no","plain","creamy","value",0.5,"physical","no","creamy plain lab"
"1668",55,"conscience","X",20,"no","long","blue","dimension",0.25,"color","no","blue long conscience"
"1671",55,"food","X",23,"no","favorite","long","value",0.54,"dimension","no","long favorite food"
"1673",55,"recipe","X",25,"no","Japanese","narrow","nationality",0.27,"dimension","no","narrow Japanese recipe"
"1674",55,"corporation","X",26,"no","curly","crocheted","physical",0.45,"material","no","crocheted curly corporation"
"1680",55,"letter","X",32,"no","corduroy","selfish","material",0.5,"human","no","selfish corduroy letter"
"1682",56,"power","X",4,"no","solid","entrepreneurial","physical",0.54,"human","no","entrepreneurial solid power"
"1696",56,"student","X",18,"no","exciting","biggest","value",0.53,"dimension","no","biggest exciting student"
"1699",56,"banking","X",21,"no","exciting","mini","value",0.32,"dimension","no","mini exciting banking"
"1705",56,"trash","X",27,"no","individual","entrepreneurial","X",0.53,"human","no","entrepreneurial individual trash"
"1717",57,"luck","X",9,"no","English","junior","nationality",0.58,"age","no","junior English luck"
"1733",57,"grandchild","X",25,"no","internal","large","location",0.73,"dimension","no","large internal grandchild"
"1747",58,"reinforcement","X",9,"no","pleasant","sad","value",0.66,"human","no","sad pleasant reinforcement"
"1767",58,"bearing","X",29,"no","gold","red","material",0.12,"color","no","red gold bearing"
"1780",59,"life","X",12,"no","favorite","open","value",0.16,"dimension","no","open favorite life"
"1791",59,"meat","X",23,"no","strange","slow","value",0.52,"speed","no","slow strange meat"
"1795",59,"family","X",27,"no","smooth","red","physical",0.56,"color","no","red smooth family"
"1833",61,"tax","X",5,"no","lacy","purple","physical",0.43,"color","no","purple lacy tax"
"1835",61,"city","X",7,"no","individual","daily","X",0.59,"temporal","no","daily individual city"
"1836",61,"strip","X",8,"no","potential","old-time","X",0.47,"age","no","old-time potential strip"
"1839",61,"decision","X",11,"no","spicy","thick","physical",0.57,"dimension","no","thick spicy decision"
"1840",61,"family","X",12,"no","fast","crocheted","speed",0.54,"material","no","crocheted fast family"
"1862",62,"behavior","X",4,"no","potential","speedy","X",0.35,"speed","no","speedy potential behavior"
"1863",62,"trash","X",5,"no","designated","square","X",0.72,"shape","no","square designated trash"
"1867",62,"hand","X",9,"no","Japanese","overhead","nationality",0.72,"location","no","overhead Japanese hand"
"1868",62,"luck","X",10,"no","last","Hispanic","X",0.26,"nationality","no","Hispanic last luck"
"1872",62,"dough","X",14,"no","solid","European","physical",0.07,"nationality","no","European solid dough"
"1873",62,"time","X",15,"no","professional","blonde","human",0.61,"color","no","blonde professional time"
"1878",62,"grandfather","X",20,"no","circular","biggest","shape",0.74,"dimension","no","biggest circular grandfather"
"1881",62,"radio","X",23,"no","frozen","national","physical",0.23,"nationality","no","national frozen radio"
