"","workerid","class","predicate","slide_number","response","language"
"52",1,"quality","good",28,0.85,"english"
"53",2,"shape","round",3,1,"English"
"54",2,"age","fresh",4,0,"English"
"55",2,"color","blue",5,1,"English"
"56",2,"shape","square",6,1,"English"
"57",2,"texture","soft",7,0,"English"
"58",2,"size","tiny",8,0,"English"
"59",2,"material","plastic",9,0,"English"
"60",2,"age","new",10,0,"English"
"61",2,"size","small",11,0,"English"
"62",2,"size","huge",12,0,"English"
"63",2,"color","purple",13,0,"English"
"64",2,"texture","smooth",14,1,"English"
"65",2,"size","short",15,1,"English"
"66",2,"size","long",16,0.19,"English"
"67",2,"material","metal",17,0.77,"English"
"68",2,"quality","good",18,0,"English"
"69",2,"quality","bad",19,0,"English"
"70",2,"age","rotten",20,0.96,"English"
"71",2,"color","yellow",21,0,"English"
"72",2,"color","green",22,1,"English"
"73",2,"age","old",23,0.86,"English"
"74",2,"color","brown",24,0,"English"
"75",2,"size","big",25,0.05,"English"
"76",2,"color","red",26,0,"English"
"77",2,"texture","hard",27,1,"English"
"78",2,"material","wooden",28,0,"English"
"79",3,"shape","square",3,0.05,"English"
"80",3,"size","long",4,0.55,"English"
"81",3,"size","huge",5,0.66,"English"
"82",3,"texture","soft",6,0.26,"English"
"83",3,"texture","smooth",7,0.15,"English"
"84",3,"quality","bad",8,0.72,"English"
"85",3,"age","fresh",9,0.78,"English"
"86",3,"material","metal",10,0.05,"English"
"87",3,"color","brown",11,0.19,"English"
"88",3,"age","rotten",12,0.07,"English"
"89",3,"color","red",13,0.06,"English"
"90",3,"texture","hard",14,0.22,"English"
"91",3,"material","plastic",15,0.07,"English"
"92",3,"size","short",16,0.42,"English"
"93",3,"color","green",17,0.12,"English"
"94",3,"age","old",18,0.56,"English"
"95",3,"size","big",19,0.56,"English"
"96",3,"size","tiny",20,0.53,"English"
"97",3,"color","blue",21,0.1,"English"
"98",3,"shape","round",22,0.05,"English"
"99",3,"quality","good",23,0.73,"English"
"100",3,"material","wooden",24,0.07,"English"
"101",3,"color","yellow",25,0.07,"English"
"102",3,"age","new",26,0.51,"English"
"103",3,"size","small",27,0.47,"English"
"104",3,"color","purple",28,0.08,"English"
"105",4,"color","yellow",3,0.79,"English"
"106",4,"texture","smooth",4,0.8,"English"
"107",4,"color","purple",5,0.18,"English"
"108",4,"color","red",6,0.2,"English"
"109",4,"material","wooden",7,0.21,"English"
"110",4,"quality","good",8,1,"English"
"111",4,"material","metal",9,0.08,"English"
"112",4,"color","green",10,0.79,"English"
"113",4,"age","rotten",11,0.64,"English"
"114",4,"size","short",12,0.66,"English"
"115",4,"age","new",13,0.74,"English"
"116",4,"shape","square",14,0.24,"English"
"117",4,"texture","soft",15,0.74,"English"
"118",4,"size","small",16,0.79,"English"
"119",4,"shape","round",17,0.37,"English"
"120",4,"quality","bad",18,0.86,"English"
"121",4,"size","long",19,0.74,"English"
"122",4,"texture","hard",20,0.8,"English"
"123",4,"material","plastic",21,0.2,"English"
"124",4,"size","big",22,0.78,"English"
"125",4,"size","huge",23,0.78,"English"
"126",4,"color","brown",24,0.15,"English"
"127",4,"color","blue",25,0.17,"English"
"128",4,"size","tiny",26,0.87,"English"
"129",4,"age","fresh",27,0.68,"English"
"130",4,"age","old",28,0.85,"English"
"131",5,"size","big",3,1,"English"
"132",5,"texture","hard",4,1,"English"
"133",5,"size","long",5,1,"English"
"134",5,"color","green",6,1,"English"
"135",5,"material","metal",7,1,"English"
"136",5,"color","red",8,0,"English"
"137",5,"size","short",9,1,"English"
"138",5,"shape","square",10,0,"English"
"139",5,"quality","bad",11,1,"English"
"140",5,"size","tiny",12,1,"English"
"141",5,"age","old",13,0,"English"
"142",5,"texture","soft",14,1,"English"
"143",5,"age","fresh",15,1,"English"
"144",5,"material","wooden",16,0,"English"
"145",5,"size","small",17,1,"English"
"146",5,"size","huge",18,0.99,"English"
"147",5,"material","plastic",19,0,"English"
"148",5,"texture","smooth",20,0.96,"English"
"149",5,"color","yellow",21,0,"English"
"150",5,"shape","round",22,0,"English"
"151",5,"age","rotten",23,1,"English"
"152",5,"color","brown",24,0,"English"
"153",5,"quality","good",25,1,"English"
"154",5,"color","purple",26,0,"English"
"155",5,"color","blue",27,0.01,"English"
"156",5,"age","new",28,0,"English"
"157",6,"material","wooden",3,0.85,"English"
"158",6,"texture","hard",4,0.64,"English"
"159",6,"color","brown",5,0.19,"English"
"160",6,"size","long",6,0.85,"English"
"161",6,"material","metal",7,0.12,"English"
"162",6,"texture","smooth",8,0.68,"English"
"163",6,"shape","round",9,0.33,"English"
"164",6,"color","green",10,0.24,"English"
"165",6,"color","purple",11,0.19,"English"
"166",6,"size","huge",12,0.87,"English"
"167",6,"quality","good",13,0.99,"English"
"168",6,"texture","soft",14,0.67,"English"
"169",6,"shape","square",15,0.53,"English"
"170",6,"quality","bad",16,0.93,"English"
"171",6,"color","red",17,0.17,"English"
"172",6,"age","rotten",18,0.32,"English"
"173",6,"age","fresh",19,0.25,"English"
"174",6,"size","small",20,0.98,"English"
"175",6,"color","yellow",21,0.21,"English"
"176",6,"age","old",22,0.89,"English"
"177",6,"size","short",23,0.86,"English"
"178",6,"size","tiny",24,0.83,"English"
"179",6,"color","blue",25,0.16,"English"
"180",6,"material","plastic",26,0.15,"English"
"181",6,"size","big",27,0.9,"English"
"182",6,"age","new",28,0.86,"English"
"183",7,"shape","round",3,0.62,"English"
"184",7,"quality","good",4,0.88,"English"
"185",7,"color","green",5,0.12,"English"
"186",7,"size","tiny",6,0.5,"English"
"187",7,"age","rotten",7,0.63,"English"
"188",7,"texture","hard",8,0.21,"English"
"189",7,"size","small",9,0.3,"English"
"190",7,"age","new",10,0.14,"English"
"191",7,"age","old",11,0.55,"English"
"192",7,"color","purple",12,0.03,"English"
"193",7,"texture","smooth",13,0.37,"English"
"194",7,"size","big",14,0.31,"English"
"195",7,"texture","soft",15,0.55,"English"
"196",7,"material","metal",16,0,"English"
"197",7,"color","blue",17,0,"English"
"198",7,"age","fresh",18,0.58,"English"
"199",7,"material","plastic",19,0,"English"
"200",7,"size","huge",20,0.56,"English"
"201",7,"color","red",21,0,"English"
"202",7,"shape","square",22,0.06,"English"
"203",7,"quality","bad",23,0.61,"English"
"204",7,"size","short",24,0.57,"English"
"205",7,"size","long",25,0.62,"English"
"206",7,"color","brown",26,0,"English"
"207",7,"color","yellow",27,0,"English"
"208",7,"material","wooden",28,0.32,"English"
"209",8,"shape","square",3,0.02,"english"
"210",8,"age","rotten",4,0.52,"english"
"211",8,"size","short",5,0.47,"english"
"212",8,"shape","round",6,0.01,"english"
"213",8,"color","purple",7,0.04,"english"
"214",8,"material","wooden",8,0,"english"
"215",8,"material","plastic",9,0.01,"english"
"216",8,"color","brown",10,0.02,"english"
"217",8,"size","long",11,0.6,"english"
"218",8,"age","new",12,0.66,"english"
"219",8,"texture","soft",13,0.31,"english"
"220",8,"quality","good",14,0.95,"english"
"221",8,"size","big",15,0.54,"english"
"222",8,"color","blue",16,0.04,"english"
"223",8,"color","red",17,0.03,"english"
"224",8,"quality","bad",18,0.52,"english"
"225",8,"texture","smooth",19,0.34,"english"
"226",8,"size","huge",20,0.27,"english"
"227",8,"age","old",21,0.52,"english"
"228",8,"texture","hard",22,0.19,"english"
"229",8,"size","tiny",23,0.17,"english"
"230",8,"color","yellow",24,0.01,"english"
"231",8,"age","fresh",25,0.48,"english"
"232",8,"color","green",26,0.03,"english"
"233",8,"size","small",27,0.21,"english"
"234",8,"material","metal",28,0.01,"english"
"235",9,"age","old",3,0.72,"english"
"236",9,"color","brown",4,0.37,"english"
"237",9,"shape","round",5,0.32,"english"
"238",9,"texture","soft",6,0.43,"english"
"239",9,"age","fresh",7,0.63,"english"
"240",9,"quality","bad",8,0.47,"english"
"241",9,"size","small",9,0.45,"english"
"242",9,"color","blue",10,0.2,"english"
"243",9,"shape","square",11,0.15,"english"
"244",9,"size","long",12,0.5,"english"
"245",9,"age","rotten",13,0.49,"english"
"246",9,"size","huge",14,0.38,"english"
"247",9,"material","wooden",15,0.15,"english"
"248",9,"age","new",16,0.52,"english"
"249",9,"size","short",17,0.38,"english"
"250",9,"texture","smooth",18,0.39,"english"
"251",9,"texture","hard",19,0.48,"english"
"252",9,"color","green",20,0.28,"english"
"253",9,"quality","good",21,0.64,"english"
"254",9,"size","tiny",22,0.31,"english"
"255",9,"size","big",23,0.36,"english"
"256",9,"color","red",24,0.23,"english"
"257",9,"material","plastic",25,0.28,"english"
"258",9,"material","metal",26,0.21,"english"
"259",9,"color","yellow",27,0.18,"english"
"260",9,"color","purple",28,0.22,"english"
"287",11,"color","brown",3,0.2,"English"
"288",11,"texture","soft",4,0.55,"English"
"289",11,"texture","smooth",5,0.58,"English"
"290",11,"material","metal",6,0.59,"English"
"291",11,"shape","round",7,0.43,"English"
"292",11,"color","yellow",8,0.25,"English"
"293",11,"size","small",9,0.73,"English"
"294",11,"age","rotten",10,0.36,"English"
"295",11,"material","wooden",11,0.37,"English"
"296",11,"color","blue",12,0.14,"English"
"297",11,"color","red",13,0.12,"English"
"298",11,"quality","good",14,1,"English"
"299",11,"material","plastic",15,0.24,"English"
"300",11,"age","old",16,0.94,"English"
"301",11,"age","fresh",17,0.68,"English"
"302",11,"age","new",18,0.79,"English"
"303",11,"size","huge",19,0.87,"English"
"304",11,"shape","square",20,0.16,"English"
"305",11,"size","tiny",21,1,"English"
"306",11,"size","big",22,0.83,"English"
"307",11,"size","long",23,0.88,"English"
"308",11,"quality","bad",24,1,"English"
"309",11,"color","purple",25,0.14,"English"
"310",11,"texture","hard",26,0.76,"English"
"311",11,"size","short",27,0.84,"English"
"312",11,"color","green",28,0.12,"English"
"313",12,"material","plastic",3,0.06,"English"
"314",12,"age","fresh",4,0.86,"English"
"315",12,"size","huge",5,0.82,"English"
"316",12,"shape","round",6,0.13,"English"
"317",12,"age","rotten",7,0.78,"English"
"318",12,"size","big",8,0.78,"English"
"319",12,"quality","good",9,0.93,"English"
"320",12,"age","new",10,0.65,"English"
"321",12,"material","wooden",11,0.08,"English"
"322",12,"size","tiny",12,0.74,"English"
"323",12,"size","short",13,0.83,"English"
"324",12,"color","brown",14,0.06,"English"
"325",12,"size","small",15,0.85,"English"
"326",12,"color","yellow",16,0.35,"English"
"327",12,"texture","smooth",17,0.73,"English"
"328",12,"quality","bad",18,0.94,"English"
"329",12,"texture","soft",19,0.78,"English"
"330",12,"color","green",20,0.27,"English"
"331",12,"color","blue",21,0.16,"English"
"332",12,"texture","hard",22,0.68,"English"
"333",12,"shape","square",23,0.04,"English"
"334",12,"color","purple",24,0.32,"English"
"335",12,"size","long",25,0.77,"English"
"336",12,"color","red",26,0.35,"English"
"337",12,"age","old",27,0.89,"English"
"338",12,"material","metal",28,0.21,"English"
"339",13,"size","big",3,0.96,"English"
"340",13,"texture","hard",4,0.92,"English"
"341",13,"size","small",5,0.94,"English"
"342",13,"color","green",6,0.1,"English"
"343",13,"age","rotten",7,0.8,"English"
"344",13,"color","purple",8,0.07,"English"
"345",13,"material","wooden",9,0.12,"English"
"346",13,"color","red",10,0.09,"English"
"347",13,"size","long",11,0.95,"English"
"348",13,"quality","good",12,0.95,"English"
"349",13,"texture","soft",13,0.93,"English"
"350",13,"texture","smooth",14,0.99,"English"
"351",13,"shape","round",15,0.48,"English"
"352",13,"size","huge",16,0.9,"English"
"353",13,"material","plastic",17,0.01,"English"
"354",13,"size","short",18,0.96,"English"
"355",13,"material","metal",19,0,"English"
"356",13,"shape","square",20,0.09,"English"
"357",13,"quality","bad",21,0.94,"English"
"358",13,"color","blue",22,0.02,"English"
"359",13,"size","tiny",23,0.91,"English"
"360",13,"age","old",24,0.92,"English"
"361",13,"age","fresh",25,0.86,"English"
"362",13,"color","brown",26,0.12,"English"
"363",13,"age","new",27,0.94,"English"
"364",13,"color","yellow",28,0.11,"English"
"365",14,"size","big",3,0.76,"English"
"366",14,"size","short",4,0.85,"English"
"367",14,"material","metal",5,0,"English"
"368",14,"color","yellow",6,0,"English"
"369",14,"material","plastic",7,0,"English"
"370",14,"texture","hard",8,0.77,"English"
"371",14,"age","fresh",9,0.77,"English"
"372",14,"material","wooden",10,0.28,"English"
"373",14,"shape","round",11,0,"English"
"374",14,"quality","bad",12,0.79,"English"
"375",14,"age","old",13,0.84,"English"
"376",14,"quality","good",14,0.75,"English"
"377",14,"color","green",15,0,"English"
"378",14,"age","rotten",16,0.2,"English"
"379",14,"size","tiny",17,0.79,"English"
"380",14,"color","red",18,0,"English"
"381",14,"color","purple",19,0,"English"
"382",14,"size","huge",20,0.71,"English"
"383",14,"texture","smooth",21,0.52,"English"
"384",14,"size","long",22,0.76,"English"
"385",14,"age","new",23,0.53,"English"
"386",14,"color","brown",24,0.02,"English"
"387",14,"color","blue",25,0,"English"
"388",14,"texture","soft",26,0.71,"English"
"389",14,"shape","square",27,0,"English"
"390",14,"size","small",28,0.86,"English"
"391",15,"quality","good",3,0.84,"English"
"392",15,"age","old",4,0.33,"English"
"393",15,"size","long",5,0.65,"English"
"394",15,"size","big",6,0.75,"English"
"395",15,"texture","soft",7,0.33,"English"
"396",15,"shape","square",8,0.1,"English"
"397",15,"texture","smooth",9,0.25,"English"
"398",15,"age","fresh",10,0.6,"English"
"399",15,"material","metal",11,0.06,"English"
"400",15,"shape","round",12,0.09,"English"
"401",15,"color","green",13,0.2,"English"
"402",15,"size","small",14,0.72,"English"
"403",15,"quality","bad",15,0.92,"English"
"404",15,"age","rotten",16,0.53,"English"
"405",15,"size","huge",17,0.61,"English"
"406",15,"color","purple",18,0.12,"English"
"407",15,"size","short",19,0.63,"English"
"408",15,"material","plastic",20,0.04,"English"
"409",15,"color","yellow",21,0.05,"English"
"410",15,"age","new",22,0.16,"English"
"411",15,"color","brown",23,0.22,"English"
"412",15,"material","wooden",24,0.06,"English"
"413",15,"color","red",25,0.11,"English"
"414",15,"color","blue",26,0.13,"English"
"415",15,"size","tiny",27,0.56,"English"
"416",15,"texture","hard",28,0.24,"English"
"417",16,"color","purple",3,0.24,"English"
"418",16,"texture","soft",4,0.72,"English"
"419",16,"material","plastic",5,0.21,"English"
"420",16,"age","rotten",6,0.22,"English"
"421",16,"size","big",7,0.83,"English"
"422",16,"size","tiny",8,0.81,"English"
"423",16,"quality","good",9,0.75,"English"
"424",16,"color","blue",10,0.22,"English"
"425",16,"size","huge",11,0.91,"English"
"426",16,"age","old",12,0.78,"English"
"427",16,"color","red",13,0.21,"English"
"428",16,"color","yellow",14,0.19,"English"
"429",16,"color","green",15,0.18,"English"
"430",16,"texture","smooth",16,0.83,"English"
"431",16,"shape","round",17,0.15,"English"
"432",16,"age","new",18,0.84,"English"
"433",16,"color","brown",19,0.18,"English"
"434",16,"size","long",20,0.79,"English"
"435",16,"shape","square",21,0.13,"English"
"436",16,"material","wooden",22,0.17,"English"
"437",16,"texture","hard",23,0.79,"English"
"438",16,"material","metal",24,0.18,"English"
"439",16,"age","fresh",25,0.79,"English"
"440",16,"size","small",26,0.78,"English"
"441",16,"size","short",27,0.93,"English"
"442",16,"quality","bad",28,0.83,"English"
"443",17,"color","red",3,0.12,"English"
"444",17,"texture","hard",4,0.66,"English"
"445",17,"quality","good",5,0.78,"English"
"446",17,"texture","smooth",6,0.39,"English"
"447",17,"color","yellow",7,0.2,"English"
"448",17,"size","long",8,0.61,"English"
"449",17,"size","big",9,0.59,"English"
"450",17,"color","brown",10,0.23,"English"
"451",17,"color","blue",11,0.18,"English"
"452",17,"size","short",12,0.54,"English"
"453",17,"age","old",13,0.61,"English"
"454",17,"age","fresh",14,0.38,"English"
"455",17,"material","metal",15,0.16,"English"
"456",17,"color","green",16,0.17,"English"
"457",17,"material","plastic",17,0.15,"English"
"458",17,"material","wooden",18,0.12,"English"
"459",17,"size","small",19,0.65,"English"
"460",17,"shape","round",20,0.47,"English"
"461",17,"shape","square",21,0.27,"English"
"462",17,"age","new",22,0.73,"English"
"463",17,"texture","soft",23,0.75,"English"
"464",17,"size","tiny",24,0.75,"English"
"465",17,"size","huge",25,0.75,"English"
"466",17,"color","purple",26,0.12,"English"
"467",17,"quality","bad",27,0.87,"English"
"468",17,"age","rotten",28,0.83,"English"
"469",18,"color","brown",3,0.6,"English"
"470",18,"shape","square",4,0.41,"English"
"471",18,"quality","good",5,0.63,"English"
"472",18,"shape","round",6,0.42,"English"
"473",18,"texture","smooth",7,0.61,"English"
"474",18,"size","short",8,0.5,"English"
"475",18,"size","big",9,0.77,"English"
"476",18,"material","wooden",10,0.37,"English"
"477",18,"material","plastic",11,0.61,"English"
"478",18,"material","metal",12,0.53,"English"
"479",18,"size","long",13,0.8,"English"
"480",18,"age","old",14,0.21,"English"
"481",18,"size","tiny",15,0.61,"English"
"482",18,"color","yellow",16,0.56,"English"
"483",18,"quality","bad",17,0.77,"English"
"484",18,"size","huge",18,0.48,"English"
"485",18,"color","red",19,0.82,"English"
"486",18,"age","fresh",20,0.22,"English"
"487",18,"age","rotten",21,0.49,"English"
"488",18,"color","green",22,0.69,"English"
"489",18,"color","purple",23,0.74,"English"
"490",18,"color","blue",24,0.27,"English"
"491",18,"texture","hard",25,0.57,"English"
"492",18,"size","small",26,0.36,"English"
"493",18,"texture","soft",27,0.64,"English"
"494",18,"age","new",28,0.47,"English"
"495",19,"age","new",3,0.86,"English"
"496",19,"size","tiny",4,0.17,"English"
"497",19,"color","green",5,1,"English"
"498",19,"color","brown",6,1,"English"
"499",19,"size","big",7,0.94,"English"
"500",19,"color","yellow",8,0,"English"
"501",19,"texture","soft",9,0.8,"English"
"502",19,"age","fresh",10,0.62,"English"
"503",19,"texture","smooth",11,0.61,"English"
"504",19,"age","rotten",12,0.6,"English"
"505",19,"material","metal",13,0.29,"English"
"506",19,"quality","good",14,0.48,"English"
"507",19,"shape","round",15,0.52,"English"
"508",19,"texture","hard",16,0.56,"English"
"509",19,"age","old",17,0.55,"English"
"510",19,"material","plastic",18,0.12,"English"
"511",19,"size","short",19,0.64,"English"
"512",19,"size","small",20,0.55,"English"
"513",19,"quality","bad",21,0.77,"English"
"514",19,"color","red",22,0,"English"
"515",19,"material","wooden",23,0.64,"English"
"516",19,"shape","square",24,0.58,"English"
"517",19,"size","long",25,0.72,"English"
"518",19,"color","purple",26,0,"English"
"519",19,"size","huge",27,0.63,"English"
"520",19,"color","blue",28,0,"English"
"521",20,"age","fresh",3,0.82,"English"
"522",20,"size","big",4,0.38,"English"
"523",20,"age","old",5,0.46,"English"
"524",20,"color","green",6,0.1,"English"
"525",20,"color","brown",7,0.1,"English"
"526",20,"material","wooden",8,0.04,"English"
"527",20,"material","plastic",9,0,"English"
"528",20,"texture","hard",10,0.4,"English"
"529",20,"size","small",11,0.47,"English"
"530",20,"color","blue",12,0.05,"English"
"531",20,"age","rotten",13,0.3,"English"
"532",20,"size","tiny",14,0.68,"English"
"533",20,"size","huge",15,0.43,"English"
"534",20,"color","red",16,0.06,"English"
"535",20,"size","short",17,0.45,"English"
"536",20,"age","new",18,0.6,"English"
"537",20,"color","purple",19,0.08,"English"
"538",20,"material","metal",20,0.11,"English"
"539",20,"size","long",21,0.47,"English"
"540",20,"color","yellow",22,0.04,"English"
"541",20,"quality","good",23,0.7,"English"
"542",20,"shape","square",24,0.17,"English"
"543",20,"shape","round",25,0.04,"English"
"544",20,"texture","soft",26,0.69,"English"
"545",20,"texture","smooth",27,0.43,"English"
"546",20,"quality","bad",28,0.76,"English"
"547",21,"quality","bad",3,0.7,"English"
"548",21,"age","old",4,0.5,"English"
"549",21,"size","short",5,0.51,"English"
"550",21,"color","purple",6,0.5,"English"
"551",21,"color","brown",7,0.47,"English"
"552",21,"size","tiny",8,0.52,"English"
"553",21,"age","new",9,0.51,"English"
"554",21,"color","red",10,0.49,"English"
"555",21,"material","metal",11,0.48,"English"
"556",21,"quality","good",12,0.48,"English"
"557",21,"material","wooden",13,0.46,"English"
"558",21,"age","fresh",14,0.47,"English"
"559",21,"color","blue",15,0.47,"English"
"560",21,"texture","soft",16,0.45,"English"
"561",21,"size","big",17,0.45,"English"
"562",21,"color","green",18,0.5,"English"
"563",21,"age","rotten",19,0.5,"English"
"564",21,"texture","smooth",20,0.49,"English"
"565",21,"shape","square",21,0.49,"English"
"566",21,"shape","round",22,0.48,"English"
"567",21,"material","plastic",23,0.49,"English"
"568",21,"texture","hard",24,0.5,"English"
"569",21,"size","huge",25,0.49,"English"
"570",21,"color","yellow",26,0.48,"English"
"571",21,"size","small",27,0.5,"English"
"572",21,"size","long",28,0.49,"English"
"573",22,"age","fresh",3,0.81,"English"
"574",22,"size","small",4,0.84,"English"
"575",22,"material","metal",5,0,"English"
"576",22,"quality","good",6,1,"English"
"577",22,"shape","round",7,0.11,"English"
"578",22,"size","long",8,0.85,"English"
"579",22,"age","rotten",9,0.76,"English"
"580",22,"color","yellow",10,0,"English"
"581",22,"material","plastic",11,0,"English"
"582",22,"size","big",12,0.9,"English"
"583",22,"size","huge",13,0.9,"English"
"584",22,"texture","smooth",14,0.9,"English"
"585",22,"age","new",15,0.61,"English"
"586",22,"shape","square",16,0.03,"English"
"587",22,"color","blue",17,0.02,"English"
"588",22,"texture","soft",18,0.89,"English"
"589",22,"color","brown",19,0,"English"
"590",22,"size","tiny",20,0.91,"English"
"591",22,"color","purple",21,0,"English"
"592",22,"color","red",22,0,"English"
"593",22,"texture","hard",23,0.87,"English"
"594",22,"color","green",24,0,"English"
"595",22,"material","wooden",25,0.08,"English"
"596",22,"quality","bad",26,0.9,"English"
"597",22,"age","old",27,0.86,"English"
"598",22,"size","short",28,0.89,"English"
"599",23,"color","blue",3,0.86,"English"
"600",23,"material","plastic",4,0.5,"English"
"601",23,"texture","hard",5,0.73,"English"
"602",23,"material","metal",6,0.04,"English"
"603",23,"color","purple",7,0.53,"English"
"604",23,"color","yellow",8,0.66,"English"
"605",23,"age","new",9,0.72,"English"
"606",23,"material","wooden",10,0.06,"English"
"607",23,"size","huge",11,0.97,"English"
"608",23,"texture","soft",12,0.94,"English"
"609",23,"color","green",13,0.53,"English"
"610",23,"shape","square",14,0.02,"English"
"611",23,"size","short",15,0.83,"English"
"612",23,"shape","round",16,0.04,"English"
"613",23,"age","old",17,1,"English"
"614",23,"age","fresh",18,1,"English"
"615",23,"texture","smooth",19,0.5,"English"
"616",23,"size","big",20,1,"English"
"617",23,"size","small",21,1,"English"
"618",23,"color","brown",22,0.55,"English"
"619",23,"age","rotten",23,0.98,"English"
"620",23,"size","long",24,1,"English"
"621",23,"quality","good",25,1,"English"
"622",23,"size","tiny",26,1,"English"
"623",23,"color","red",27,0.54,"English"
"624",23,"quality","bad",28,1,"English"
"625",24,"age","new",3,0.21,"English"
"626",24,"color","purple",4,0.08,"English"
"627",24,"color","red",5,0.08,"English"
"628",24,"age","rotten",6,0.47,"English"
"629",24,"texture","smooth",7,0.18,"English"
"630",24,"texture","hard",8,0.17,"English"
"631",24,"material","metal",9,0.1,"English"
"632",24,"age","old",10,0.82,"English"
"633",24,"material","plastic",11,0.19,"English"
"634",24,"material","wooden",12,0.17,"English"
"635",24,"size","huge",13,0.74,"English"
"636",24,"color","brown",14,0.28,"English"
"637",24,"color","blue",15,0.15,"English"
"638",24,"size","tiny",16,0.79,"English"
"639",24,"color","green",17,0.19,"English"
"640",24,"size","long",18,0.78,"English"
"641",24,"quality","bad",19,0.77,"English"
"642",24,"quality","good",20,0.79,"English"
"643",24,"size","big",21,0.75,"English"
"644",24,"texture","soft",22,0.5,"English"
"645",24,"shape","square",23,0.09,"English"
"646",24,"size","short",24,0.88,"English"
"647",24,"size","small",25,0.89,"English"
"648",24,"shape","round",26,0.38,"English"
"649",24,"age","fresh",27,0.88,"English"
"650",24,"color","yellow",28,0.11,"English"
"651",25,"color","yellow",3,0.13,"English"
"652",25,"size","big",4,0.87,"English"
"653",25,"size","long",5,0.83,"English"
"654",25,"color","green",6,0.08,"English"
"655",25,"age","old",7,0.7,"English"
"656",25,"size","short",8,0.85,"English"
"657",25,"texture","hard",9,0.77,"English"
"658",25,"texture","soft",10,0.83,"English"
"659",25,"material","plastic",11,0.13,"English"
"660",25,"shape","round",12,0.05,"English"
"661",25,"color","brown",13,0.17,"English"
"662",25,"size","tiny",14,0.75,"English"
"663",25,"quality","good",15,0.86,"English"
"664",25,"color","blue",16,0.19,"English"
"665",25,"color","red",17,0.08,"English"
"666",25,"age","fresh",18,0.66,"English"
"667",25,"age","rotten",19,0.67,"English"
"668",25,"color","purple",20,0.13,"English"
"669",25,"age","new",21,0.71,"English"
"670",25,"material","wooden",22,0.02,"English"
"671",25,"texture","smooth",23,0.42,"English"
"672",25,"size","small",24,0.84,"English"
"673",25,"quality","bad",25,0.83,"English"
"674",25,"material","metal",26,0.05,"English"
"675",25,"shape","square",27,0.72,"English"
"676",25,"size","huge",28,0.9,"English"
"677",26,"shape","round",3,0.11,"english"
"678",26,"quality","bad",4,0.92,"english"
"679",26,"size","big",5,0.72,"english"
"680",26,"color","purple",6,0.2,"english"
"681",26,"material","wooden",7,0.46,"english"
"682",26,"age","fresh",8,0.7,"english"
"683",26,"age","old",9,0.7,"english"
"684",26,"material","metal",10,0.11,"english"
"685",26,"size","short",11,0.72,"english"
"686",26,"color","yellow",12,0.17,"english"
"687",26,"color","green",13,0.09,"english"
"688",26,"quality","good",14,0.78,"english"
"689",26,"texture","hard",15,0.67,"english"
"690",26,"size","tiny",16,0.81,"english"
"691",26,"color","blue",17,0.27,"english"
"692",26,"color","red",18,0.16,"english"
"693",26,"shape","square",19,0.36,"english"
"694",26,"size","small",20,0.64,"english"
"695",26,"size","long",21,0.69,"english"
"696",26,"texture","smooth",22,0.37,"english"
