Item_ID	Sentence	SentenceLength	Adjective	FQ_Adjective	P_Adjective	Noun	FQ_Noun	P_Noun	NP	NPParse	PrevAdjective	FQ_PrevAdjective	P_PrevAdjective	PrevPrevAdjective	FQ_PrevPrevAdjective	P_PrevPrevAdjective	PrevAdj	PrevPrevAdj
269:119	i think that great strides *ich*-2 are being made *-1 nowadays in, in * caring for the elderly, you know, in several, in a, in a whole lot of areas.	30	whole	468 	0.000390202254835423	lot	2469 	0.00205856702390739	a whole lot	(NP (DT a) (RS (-DFL- \])) (JJ whole) (NN lot))							no	
279:155	you know it's, it *exp*-1's interesting that, that a lot, the population of the united states is changing because, you know, uh, now that so many more minorities, where they have had extended families for such a long time *t*-2.	42	extended	22 	1.8342841039272e-05	families	75 	6.25324126338819e-05	extended families	(NP (JJ extended) (NNS families))							no	
279:163	you know it's, it *exp*-1's interesting that, that a lot, the population of the united states is changing because, you know, uh, now that so many more minorities, where they have had extended families for such a long time *t*-2.	42	long	545 	0.000454402198472875	time	1872 	0.00156080901934169	such a long time	(NP (PDT such) (DT a) (JJ long) (NN time))							no	
283:44	um, matter of fact in the united states we used *-1 to have extended families.	15	extended	22 	1.8342841039272e-05	families	75 	6.25324126338819e-05	extended families	(NP (JJ extended) (NNS families))							no	
291:57	but, i guess 0 as we become more industrialized and more, you know, less in a rural situation we, we don't, we, we, we choose *-1 not to deal with the, extended family because we feel 0 it's kind of cumbersome, when in reality it makes things much much easier *t*-2.	53	rural	19 	1.58415445339167e-05	situation	172 	0.000143407666307036	a rural situation	(NP (DT a) (JJ rural) (NN situation))							no	
291:151	but, i guess 0 as we become more industrialized and more, you know, less in a rural situation we, we don't, we, we, we choose *-1 not to deal with the, extended family because we feel 0 it's kind of cumbersome, when in reality it makes things much much easier *t*-2.	53	extended	22 	1.8342841039272e-05	family	486 	0.000405210033867555	the, extended family	(NP (DT the) (, ,) (JJ extended) (NN family))							no	
313:61	i, i, i think that perhaps, perhaps the extended family, you know, that it maybe one of the solutions to a lot of things even child care.	27	extended	22 	1.8342841039272e-05	family	486 	0.000405210033867555	the extended family	(NP-TPC (DT the) (JJ extended) (NN family))							no	
317:48	you know i mean, of course there, there comes other issues, you know, whether or not any of the grandparents whether we feel like are going * to be a good, they're going *-1 to be a good caretaker for our children.	43	other	1208 	0.00100718872615639	issues	41 	3.41843855731888e-05	other issues	(NP (JJ other) (NNS issues))							no	
328:37	just because they're grandparents that doesn't automatically make them a good child carer.	15	good	2181 	0.00181844255939329	child	259 	0.000215945264962339	a good child carer	(NP-PRD (DT a) (JJ good) (NN child) (NN carer))							no	
331:136	but, uh, i, i, i think that, you know, we always, uh, i mean, i've, i've had a lot of good experiences with, uh, with many many people especially where they've had, uh, extended family *t*-1.	39	good	2181 	0.00181844255939329	experiences	15 	1.25064825267764e-05	good experiences	(NP (JJ good) (NNS experiences))							no	
331:207	but, uh, i, i, i think that, you know, we always, uh, i mean, i've, i've had a lot of good experiences with, uh, with many many people especially where they've had, uh, extended family *t*-1.	39	extended	22 	1.8342841039272e-05	family	486 	0.000405210033867555	extended family	(NP (JJ extended) (NN family))							no	
360:32	but the qua-, but actually * have a truer standard of living.	12	truer	2 	1.66753100357018e-06	standard	48 	4.00207440856844e-05	a truer standard	(NP (DT a) (JJR truer) (NN standard))							no	
398:19	um, actually i wore corduroy shorts with a white blouse, um, and flat shoes.	14	corduroy	2 	1.66753100357018e-06	shorts	31 	2.58467305553378e-05	corduroy shorts	(NP (JJ corduroy) (NNS shorts))							no	
398:27	um, actually i wore corduroy shorts with a white blouse, um, and flat shoes.	14	white	78 	6.50337091392372e-05	blouse	3 	2.50129650535528e-06	a white blouse	(NP (DT a) (JJ white) (NN blouse))							no	
398:43	um, actually i wore corduroy shorts with a white blouse, um, and flat shoes.	14	flat	36 	3.00155580642633e-05	shoes	29 	2.41791995517677e-05	flat shoes	(NP (JJ flat) (NNS shoes))							no	
417:79	then whenever i have a meeting with a client *t*-4, i'll put a suit on. and then come home and get back into regular clothes again.	27	regular	94 	7.83739571677986e-05	clothes	53 	4.41895715946099e-05	regular clothes	(NP (JJ regular) (NNS clothes))							no	
430:33	um, you see people wearing, you know, all different attire.	10	different	614 	0.000511932018096046	attire	2 	1.66753100357018e-06	all different attire	(NP (RB all) (JJ different) (NN attire))							no	
433:12	i work in a big building.	6	big	687 	0.000572796899726358	building	83 	6.92025366481626e-05	a big building	(NP (DT a) (JJ big) (NN building))							no	
437:16	so, i predominantly wear flat shoes.	6	flat	36 	3.00155580642633e-05	shoes	29 	2.41791995517677e-05	flat shoes	(NP (JJ flat) (NNS shoes))							no	
439:50	in summer i, you know, i like one piece dresses, short sleeves, things like that.	15	short	80 	6.67012401428074e-05	sleeves	1 	8.33765501785092e-07	short sleeves	(NP (JJ short) (NNS sleeves))							no	
449:27	i can only have a, a limited wardrobe, since i'm only, working part-time right now.	16	limited	35 	2.91817925624782e-05	wardrobe	7 	5.83635851249564e-06	a limited wardrobe	(NP (DT a) (RS (-DFL- \])) (JJ limited) (NN wardrobe))							no	
457:10	* add different blouses and scarves and belts and things like that.	12	different	614 	0.000511932018096046	blouses	5 	4.16882750892546e-06	different blouses	(NP (JJ different) (NNS blouses))							no	
467:9	what about your casual wear?	5	casual	19 	1.58415445339167e-05	wear	133 	0.000110890811737417	your casual wear	(NP (PRP$ your) (JJ casual) (NN wear))							no	
485:12	they're like black corduroy ber-, bermuda shorts.	8	corduroy	2 	1.66753100357018e-06	bermuda	10 	8.33765501785092e-06	black corduroy ber-, bermuda shorts	(NP-PRD (JJ black) (JJ corduroy) (EDITED (RM (-DFL- \[)) (NNP Ber-) (, ,) (IP (-DFL- \+))) (NNP Bermuda) (RS (-DFL- \])) (NNS shorts))	black	68 	5.66960541213863e-05				yes	no
504:35	and, um, but i'm really the only woman, i guess, at work that *t*-1 does that,	17	only	724 	0.000603646223292407	woman	98 	8.1709019174939e-05	the only woman	(NP (DT the) (JJ only) (NN woman))							no	
510:58	in fact, i just bought, i, i just got a new outfit *ich*-1 as a gift that, um,	18	new	555 	0.000462739853490726	outfit	6 	5.00259301071055e-06	a new outfit	(NP (DT a) (JJ new) (NN outfit))							no	
618:14	probably one of the best things about it was the scenery	11	best	204 	0.000170088162364159	things	1752 	0.00146075715912748	the best things	(NP (DT the) (JJS best) (NNS things))							no	
667:8	well, the interesting thing was is 0 i had heard that,	11	interesting	427 	0.000356017869262234	thing	1372 	0.00114392626844915	the interesting thing	(NP-SBJ (DT the) (JJ interesting) (NN thing))							no	
669:77	and, and it was, the thing is, 0 it was, it was a good story.	15	good	2181 	0.00181844255939329	story	113 	9.42155017017154e-05	a good story	(NP-PRD (DT a) (JJ good) (NN story))							no	
709:28	it's, it's more suspense.	6	more	1696 	0.00141406629102752	suspense	7 	5.83635851249564e-06	more suspense	(NP-PRD (JJR more) (NN suspense))							no	
710:51	um, the other one, silence of the lambs, is kind of a, a gory movie, if, if somebody's not into that kind of stuff.	25	gory	5 	4.16882750892546e-06	movie	265 	0.000220947857973049	a gory movie	(NP-PRD (DT a) (RS (-DFL- \])) (JJ gory) (NN movie))							no	
712:30	but, uh, i think 0 they're both excellent movies.	10	excellent	56 	4.66908680999652e-05	movies	157 	0.000130901183780259	excellent movies	(NP-PRD (JJ excellent) (NNS movies))							no	
749:17	i was listening sunday night a little bit when, i was going *-1 to pick up my daughter *t*-2.	19	little	1416 	0.00118061195052769	bit	555 	0.000462739853490726	a little bit	(NP-ADV (DT a) (JJ little) (NN bit))							no	
767:44	because i think that, i think 0 he did a good job	12	good	2181 	0.00181844255939329	job	374 	0.000311828297667624	a good job	(NP (DT a) (JJ good) (NN job))							no	
774:3	a little piece of trivia.	5	little	1416 	0.00118061195052769	piece	52 	4.33558060928248e-05	a little piece	(NP (DT A) (JJ little) (NN piece))							no	
789:6	as a recurring character every week?	6	recurring	1 	8.33765501785092e-07	character	29 	2.41791995517677e-05	a recurring character	(NP (DT a) (JJ recurring) (NN character))							no	
801:36	that's, that's one of those interesting pieces of trivia that somebody said *t*-1,	15	interesting	427 	0.000356017869262234	pieces	24 	2.00103720428422e-05	those interesting pieces	(NP (DT those) (JJ interesting) (NNS pieces))							no	
861:8	well, the first thing for me is i wonder, i see a couple of different ways of * talking about what privacy is *t*-1,	24	first	572 	0.000476913867021073	thing	1372 	0.00114392626844915	the first thing	(NP-SBJ (DT the) (JJ first) (NN thing))							no	
861:60	well, the first thing for me is i wonder, i see a couple of different ways of * talking about what privacy is *t*-1,	24	different	614 	0.000511932018096046	ways	99 	8.25427846767241e-05	different ways	(NP (JJ different) (NNS ways))							no	
862:38	um, if privacy is something that *t*-2 disturbs your private state, i mean an invasion of privacy is something that *t*-3 disturbs your private state, that's one thing,	29	private	87 	7.2537598655303e-05	state	249 	0.000207607609944488	your private state	(NP (PRP$ your) (JJ private) (NN state))							no	
862:88	um, if privacy is something that *t*-2 disturbs your private state, i mean an invasion of privacy is something that *t*-3 disturbs your private state, that's one thing,	29	private	87 	7.2537598655303e-05	state	249 	0.000207607609944488	your private state	(NP (PRP$ your) (JJ private) (NN state))							no	
863:34	and if privacy is something that *t*-1 comes into your private state and extracts information from it, in other words, finds something *ich*-2 out about you that's another.	29	private	87 	7.2537598655303e-05	state	249 	0.000207607609944488	your private state	(NP (PRP$ your) (JJ private) (NN state))							no	
863:61	and if privacy is something that *t*-1 comes into your private state and extracts information from it, in other words, finds something *ich*-2 out about you that's another.	29	other	1208 	0.00100718872615639	words	47 	3.91869785838993e-05	other words	(NP (JJ other) (NNS words))							no	
864:10	and the first kind of invasion of, the first type of privacy seemed *t*-2 invaded *-1 to me, and very much everyday in this country,	25	first	572 	0.000476913867021073	kind	2153 	0.0017950971253433	the first kind	(NP (DT the) (JJ first) (NN kind))							no	
864:33	and the first kind of invasion of, the first type of privacy seemed *t*-2 invaded *-1 to me, and very much everyday in this country,	25	first	572 	0.000476913867021073	type	337 	0.000280978974101576	the first type	(NP (DT the) (JJ first) (NN type))							no	
865:8	but in the second time, at least overtly, uh, where someone comes in and, uh, finds out information about you that *t*-1 should be private *t*-2, uh, does not seem, uh, um, obviously, everyday.	34	second	143 	0.000119228466755268	time	1872 	0.00156080901934169	the second time	(NP (DT the) (JJ second) (NN time))							no	
868:17	i think 0 in a good example on the typical thing that *t*-1 happens, uh, when the phone rang *t*-2 and it's t i 0 *t*-3 calling, my immediate reaction is that it's some sort of strange phone message	41	good	2181 	0.00181844255939329	example	95 	7.92077226695837e-05	a good example	(NP (DT a) (JJ good) (NN example))							no	
868:28	i think 0 in a good example on the typical thing that *t*-1 happens, uh, when the phone rang *t*-2 and it's t i 0 *t*-3 calling, my immediate reaction is that it's some sort of strange phone message	41	typical	38 	3.16830890678335e-05	thing	1372 	0.00114392626844915	the typical thing	(NP (DT the) (JJ typical) (NN thing))							no	
868:101	i think 0 in a good example on the typical thing that *t*-1 happens, uh, when the phone rang *t*-2 and it's t i 0 *t*-3 calling, my immediate reaction is that it's some sort of strange phone message	41	immediate	23 	1.91766065410571e-05	reaction	11 	9.17142051963601e-06	my immediate reaction	(NP-SBJ (PRP$ my) (JJ immediate) (NN reaction))							no	
868:130	i think 0 in a good example on the typical thing that *t*-1 happens, uh, when the phone rang *t*-2 and it's t i 0 *t*-3 calling, my immediate reaction is that it's some sort of strange phone message	41	strange	69 	5.75298196231713e-05	phone	128 	0.000106721984228492	strange phone message	(NP (JJ strange) (NN phone) (NN message))							no	
873:5	so my immediate reaction was one of that sense of invasion	11	immediate	23 	1.91766065410571e-05	reaction	11 	9.17142051963601e-06	my immediate reaction	(NP-SBJ (PRP$ my) (JJ immediate) (NN reaction))							no	
885:13	uh, and at the same time i think that i receive on, on the order of, uh, probably, seven or eight a week calls of the nature where one wishes that there were a convenient way 0 *-2 to just hang up on it *t*-1 *t*-3.	46	same	533 	0.000444397012451454	time	1872 	0.00156080901934169	the same time	(NP (DT the) (JJ same) (NN time))							no	
885:117	uh, and at the same time i think that i receive on, on the order of, uh, probably, seven or eight a week calls of the nature where one wishes that there were a convenient way 0 *-2 to just hang up on it *t*-1 *t*-3.	46	convenient	32 	2.66804960571229e-05	way	1105 	0.000921310879472527	a convenient way	(NP (DT a) (JJ convenient) (NN way))							no	
887:21	from, from personal parties or from these, um, phone answer, phone, uh, commercial things.	14	personal	91 	7.58726606624434e-05	parties	20 	1.66753100357018e-05	personal parties	(NP (JJ personal) (NNS parties))							no	
893:29	oh, that, that's a remarkable number.	7	remarkable	10 	8.33765501785092e-06	number	190 	0.000158415445339167	a remarkable number	(NP-PRD (DT a) (JJ remarkable) (NN number))							no	
900:23	i think 0 they prey on people's, um, inherent politeness on the phone even with the machine.	18	inherent	3 	2.50129650535528e-06	politeness	1 	8.33765501785092e-07	people's, um, inherent politeness	(NP (NP (NNS people) (POS 's)) (, ,) (INTJ (UH um)) (, ,) (JJ inherent) (NN politeness))							no	
904:71	and i think 0 that's what *t*-1 makes one feel invaded is the fact that there seems *-2 to be little control	23	little	1416 	0.00118061195052769	control	109 	9.0880439694575e-05	little control	(NP-PRD (JJ little) (NN control))							no	
923:19	i think 0 that's a good idea on your part.	11	good	2181 	0.00181844255939329	idea	245 	0.000204272547937348	a good idea	(NP-PRD (DT a) (JJ good) (NN idea))							no	
926:29	well, presumably those who *t*-1 find out such information, if they are doing it, i would prefer *-2 to not to be known *-3,	24	such	255 	0.000212610202955198	information	83 	6.92025366481626e-05	such information	(NP (JJ such) (NN information))							no	
927:76	and, i mean, you know, the classic, oh, i don't know c i a conspiracy theories or whatever, would have such parties *-1 trying *-2 to do it without your knowledge.	32	such	255 	0.000212610202955198	parties	20 	1.66753100357018e-05	such parties	(NP (JJ such) (NNS parties))							no	
928:32	so there's,, things that *t*-1 invade that second type of privacy where you do know about them *t*-2 and possibly things that *t*-3 invade that second type of privacy without you knowing about it,	35	second	143 	0.000119228466755268	type	337 	0.000280978974101576	that second type	(NP (DT that) (JJ second) (NN type))							no	
928:89	so there's,, things that *t*-1 invade that second type of privacy where you do know about them *t*-2 and possibly things that *t*-3 invade that second type of privacy without you knowing about it,	35	second	143 	0.000119228466755268	type	337 	0.000280978974101576	that second type	(NP (DT that) (JJ second) (NN type))							no	
929:19	and i can't talk about the second one other than * to, to, to generate paranoia.	17	second	143 	0.000119228466755268	one	3373 	0.00281229103752112	the second one	(NP (DT the) (JJ second) (NN one))							no	
937:52	well, i guess, 0 although, i, well, that's a good point where you said that how does one define what invasion of privacy is *t*-1 *t*-3 *t*-2, because, uh, if that's the case of a tree falling in the forest	42	good	2181 	0.00181844255939329	point	288 	0.000240124464514106	a good point	(NP (DT a) (JJ good) (NN point))							no	
967:21	um, the, the other side of that might be 0 if, if someone found out something *rnr*-1 or surmised something *rnr*-1 that *t*-2 weren't true then i would feel probably more invaded in the gossipy sort of sense.	39	other	1208 	0.00100718872615639	side	164 	0.000136737542292755	the other side	(NP (DT the) (RS (-DFL- \])) (JJ other) (NN side))							no	
967:135	um, the, the other side of that might be 0 if, if someone found out something *rnr*-1 or surmised something *rnr*-1 that *t*-2 weren't true then i would feel probably more invaded in the gossipy sort of sense.	39	gossipy	1 	8.33765501785092e-07	sort	537 	0.000447732074458594	the gossipy sort	(NP (DT the) (JJ gossipy) (NN sort))							no	
996:31	but then if it turns out *-1 to generate incorrect things, that's even worse	15	incorrect	1 	8.33765501785092e-07	things	1752 	0.00146075715912748	incorrect things	(NP (JJ incorrect) (NNS things))							no	
1008:29	and the person who *t*-1 had *?* takes unsolicited phones calls and pays money	15	unsolicited	1 	8.33765501785092e-07	phones	9 	7.50388951606583e-06	unsolicited phones calls	(NP (JJ unsolicited) (NNS phones) (NNS calls))							no	
1020:58	and, um, one of the problems with the lotus data base was, um, that it was uncontrolled access to who *t*-1 would have that information.	25	uncontrolled	1 	8.33765501785092e-07	access	24 	2.00103720428422e-05	uncontrolled access	(NP (JJ uncontrolled) (NN access))							no	
1021:44	i mean, they said 0 they would give it out to only select companies but, um, you know, just like software is only given *-1 out to customers,	28	select	4 	3.33506200714037e-06	companies	85 	7.08700676517328e-05	select companies	(NP (JJ select) (NNS companies))							no	
1028:67	and they wouldn't bother *-1 to check that carefully anyway to someone who *t*-2's offering, you know, full cash price, for it.	24	full	131 	0.000109223280733847	cash	41 	3.41843855731888e-05	full cash price	(NP (JJ full) (NN cash) (NN price))							no	
1034:91	and, you know, and, and that hacker just has *-1 to get in to, in touch with the sneak thief	20	sneak	4 	3.33506200714037e-06	thief	1 	8.33765501785092e-07	the sneak thief	(NP (DT the) (JJ sneak) (NN thief))							no	
1035:64	and suddenly and then what *t*-1 started as an invasion of privacy can be an invasion of your actual home.	20	actual	28 	2.33454340499826e-05	home	899 	0.000749555186104798	your actual home	(NP (PRP$ your) (JJ actual) (NN home))							no	
1038:36	and i guess 0 that turns out *-1 to be the basic problem with any invasion of privacy is whether or not you're feeling, threatened as a result of, of it	32	basic	49 	4.08545095874695e-05	problem	525 	0.000437726888437173	the basic problem	(NP (DT the) (JJ basic) (NN problem))							no	
1042:29	so, maybe that is a, a little bit of what privacy is *t*-1.	13	little	1416 	0.00118061195052769	bit	555 	0.000462739853490726	a little bit	(NP (DT a) (RS (-DFL- \])) (JJ little) (NN bit))							no	
1050:34	but i realized 0 i have *-1 to behave in a certain way in order *-2 to not have people invade my privacy.	23	certain	188 	0.000156747914335597	way	1105 	0.000921310879472527	a certain way	(NP (DT a) (JJ certain) (NN way))							no	
1051:17	if i deviate from social norms of behavior, if i run up and down the street *-1 yelling or something, someone's going *-2 to invade my privacy very quickly.	30	social	86 	7.17038331535179e-05	norms	5 	4.16882750892546e-06	social norms	(NP (JJ social) (NNS norms))							no	
1059:31	in fact, it *exp*-2's said *-1 that no indian language has a word for privacy,	16	indian	10 	8.33765501785092e-06	language	29 	2.41791995517677e-05	no indian language	(NP-SBJ (DT no) (JJ Indian) (NN language))							no	
1087:8	but on the other hand, i realized 0 i could go out on the street and act like a complete lunatic,	21	other	1208 	0.00100718872615639	hand	127 	0.000105888218726707	the other hand	(NP (DT the) (JJ other) (NN hand))							no	
1087:56	but on the other hand, i realized 0 i could go out on the street and act like a complete lunatic,	21	complete	25 	2.08441375446273e-05	lunatic	2 	1.66753100357018e-06	a complete lunatic	(NP (DT a) (JJ complete) (NN lunatic))							no	
1095:25	whereas in this country where everyone respects the closed doors very much *t*-1, if you go out and then act like the lunatic you, you violate the, uh, the norms of social, of, um, public behavior.	36	closed	12 	1.00051860214211e-05	doors	28 	2.33454340499826e-05	the closed doors	(NP (DT the) (JJ closed) (NNS doors))							no	
1097:94	and they start *-1 asking questions and in the sense are invite-, invade, invading your privacy although, if you know what the social norms are *t*-2, you know, quote unquote, you asked for it.	34	social	86 	7.17038331535179e-05	norms	5 	4.16882750892546e-06	the social norms	(NP-SBJ (DT the) (JJ social) (NNS norms))							no	
1098:55	but it does mean that you have yet another reason 0 *-1 to follow a set of social norms *t*-2.	20	social	86 	7.17038331535179e-05	norms	5 	4.16882750892546e-06	social norms	(NP (JJ social) (NNS norms))							no	
1117:85	and it's obvious, you know, the results of sex are quite obvious,, as the population goes up an extra hundred million every few years.	25	few	373 	0.000310994532165839	years	1151 	0.000959664092554641	every few years	(NP-TMP (DT every) (JJ few) (NNS years))							no	
1121:68	for al-, of the time 0 i've spent *t*-1 there, i still don't quite understand how certain things that i assume 0 *t*-2 and require privacy and require not just that you be alone but actually that you have a sense of privacy *t*-3.	46	certain	188 	0.000156747914335597	things	1752 	0.00146075715912748	certain things	(NP (JJ certain) (NNS things))							no	
1126:53	but for me a lot of what i do *t*-1 requires a sense that there's this invisible barrier around me which people wil-, will respect *t*-2.	27	invisible	2 	1.66753100357018e-06	barrier	6 	5.00259301071055e-06	this invisible barrier	(NP (DT this) (JJ invisible) (NN barrier))							no	
1134:27	are th-, are there any other specific things that, that you feel like, where, where you feel your privacy to be invaded *-1 on a day-to-day basis or either on a growing frequency *t*-2?	34	specific	19 	1.58415445339167e-05	things	1752 	0.00146075715912748	any other specific things	(NP (DT any) (JJ other) (JJ specific) (NNS things))	other	1208 	0.00100718872615639				yes	no
1134:125	are th-, are there any other specific things that, that you feel like, where, where you feel your privacy to be invaded *-1 on a day-to-day basis or either on a growing frequency *t*-2?	34	day-to-day	3 	2.50129650535528e-06	basis	53 	4.41895715946099e-05	a day-to-day basis	(NP (DT a) (JJ day-to-day) (NN basis))							no	
1134:140	are th-, are there any other specific things that, that you feel like, where, where you feel your privacy to be invaded *-1 on a day-to-day basis or either on a growing frequency *t*-2?	34	growing	90 	7.50388951606583e-05	frequency	3 	2.50129650535528e-06	a growing frequency	(NP (DT a) (JJ growing) (NN frequency))							no	
1136:75	all the class-, the other classic examples, the jehovah's witness or, or mormons or someone knocking at the front door, um, which *t*-1 is more intrusive because i have *-2 to really tell someone *-3 to go away.	39	front	93 	7.75401916660136e-05	door	95 	7.92077226695837e-05	the front door	(NP (DT the) (JJ front) (NN door))							no	
1151:14	or they're introducing some new product in the area	10	new	555 	0.000462739853490726	product	23 	1.91766065410571e-05	some new product	(NP (DT some) (JJ new) (NN product))							no	
1160:10	that was the big one 0 i'm talking about *t*-1.	11	big	687 	0.000572796899726358	one	3373 	0.00281229103752112	the big one	(NP (DT the) (JJ big) (NN one))							no	
1161:9	i work weird hours,	4	weird	47 	3.91869785838993e-05	hours	130 	0.000108389515232062	weird hours	(NP (JJ weird) (NNS hours))							no	
1187:43	so, and i hate that when i've got a whole bunch of messages *t*-1	15	whole	468 	0.000390202254835423	bunch	85 	7.08700676517328e-05	a whole bunch	(NP (DT a) (JJ whole) (NN bunch))							no	
1202:155	but if they're going *-1 to offer these services, or these recorded message, everything, they ought *-2 to be stuck *-3 * working with the phone book like everybody else instead of using a computer *-4 to go through and just go down every sequence of numbers for this certain area code and call them.	56	certain	188 	0.000156747914335597	area	444 	0.000370191882792581	this certain area code	(NP (DT this) (JJ certain) (NN area) (NN code))							no	
1206:12	see i have an unlisted telephone number,	7	unlisted	7 	5.83635851249564e-06	telephone	28 	2.33454340499826e-05	an unlisted telephone number	(NP (DT an) (JJ unlisted) (NN telephone) (NN number))							no	
1208:28	and then some of them are speaking in a foreign language that i don't even understand *t*-1.	18	foreign	21 	1.75090755374869e-05	language	29 	2.41791995517677e-05	a foreign language	(NP (DT a) (JJ foreign) (NN language))							no	
1212:18	i agree with you on that particular subject there.	9	particular	96 	8.00414881713688e-05	subject	100 	8.33765501785092e-05	that particular subject	(NP (DT that) (JJ particular) (NN subject))							no	
1215:26	that's about, that as far as any other everyday occurrences,	11	everyday	32 	2.66804960571229e-05	occurrences	2 	1.66753100357018e-06	any other everyday occurrences	(NP (DT any) (JJ other) (JJ everyday) (NNS occurrences))	other	1208 	0.00100718872615639				yes	no
1225:21	but they still come up to the front door and, uh, you know, walk around.	15	front	93 	7.75401916660136e-05	door	95 	7.92077226695837e-05	the front door	(NP (DT the) (JJ front) (NN door))							no	
1228:28	or, or they're from a religious organization	8	religious	15 	1.25064825267764e-05	organization	31 	2.58467305553378e-05	a religious organization	(NP (DT a) (JJ religious) (NN organization))							no	
1236:35	and uh, i've read a lot about, uh, that particular sect	12	particular	96 	8.00414881713688e-05	sect	1 	8.33765501785092e-07	that particular sect	(NP (DT that) (JJ particular) (NN sect))							no	
1241:36	but i think 0 they should also respect the sanctity of the american home, whether it be in a house or in an apartment.	24	american	97 	8.08752536731539e-05	home	899 	0.000749555186104798	the american home	(NP (DT the) (JJ American) (NN home))							no	
